Event Name,Class/Section Name,Judge's Name,Rider,Horse,Place,Points,Status,Class Winner,Supreme Winner,Comments
Dundonald Show 2025,Class 17 Ring 1 - Working Hunter: 80cm,,Anna Lamb,"Patterson ",,,,,,
Dundonald Show 2025,Class 17 Ring 1 - Working Hunter: 80cm,,Debbie Jones,Eddie’s Legacy,,,,,,
Dundonald Show 2025,Class 17 Ring 1 - Working Hunter: 80cm,,Hayley Nelson,Coruscating Commotion,,,,,,
Dundonald Show 2025,Class 17 Ring 1 - Working Hunter: 80cm,,Jane  mcculloch,"Carrick Lady Caledonia ",,,,,,
Dundonald Show 2025,Class 17 Ring 1 - Working Hunter: 80cm,,Sara Davies,Knightsbridge H,,,,,,
Dundonald Show 2025,Class 17 Ring 1 - Working Hunter: 80cm,,Sara Davies,"Toshiba ",,,,,,
