Event Name,Class/Section Name,Judge's Name,Rider,Horse,Place,Points,Status,Class Winner,Supreme Winner,Comments
Dundonald Show 2025,Class 26 Ring 2 - Mountain & Moorland: In Hand,," Chloe Waugh","Debernon the best man ",,,,,,
Dundonald Show 2025,Class 26 Ring 2 - Mountain & Moorland: In Hand,,Carol Ann  Weir,Penllech Dolly-Mix,,,,,,
Dundonald Show 2025,Class 26 Ring 2 - Mountain & Moorland: In Hand,,Chelsea Hamilton,"Fairywood Royal Mountbatten Windsor ",,,,,,
Dundonald Show 2025,Class 26 Ring 2 - Mountain & Moorland: In Hand,,Daisy  Robertson,"Hermits maverick ",,,,,,
Dundonald Show 2025,Class 26 Ring 2 - Mountain & Moorland: In Hand,,Karen Lyon,Blaencila Alcaraz,,,,,,
Dundonald Show 2025,Class 26 Ring 2 - Mountain & Moorland: In Hand,,Kathryn Martin,Ballinclach Surprise,,,,,,
Dundonald Show 2025,Class 26 Ring 2 - Mountain & Moorland: In Hand,,Leah Dalgleish,Bienn Bheula of RoyalDalriada,,,,,,
Dundonald Show 2025,Class 26 Ring 2 - Mountain & Moorland: In Hand,,Wendy Miller-smith,Foxsedge Giselle,,,,,,
